ID_MASTER,Framework_Name,Region_Culture,Macro_Region,Intellectual_Tradition,Core_Triad,UTCP_Mapping,Regime_Type,Closure_Function,Depth,Integrity,Lineage_Cluster,Blurb,Primary_Source,Parse_Flag
87,Three Doors of Action / Trīṇi Karmadvārāṇi (Kāya-Vāk-Citta),Modern Theoretical / Cross-Cultural,Modern Global – Mixed/General,Modern Theoretical / Structural,"Kāya (काय, Body) — physical action; the structural medium through which intention manifests in the world. Includes gesture, posture, movement, physical conduct. In tantric practice: corresponds to Nirmāṇakāya (#47). | Vāk / Vāc (वाक्, Speech) — verbal action; the communicative medium. Includes truth/falsehood, harsh/gentle speech, gossip, chanting, mantra. The relational drive that connects inner intention to outer world. In tantric practice: corresponds to Sambhogakāya (#47). | Citta / Manas (चित्त, Mind) — mental action; intention, thought, attitude. The innermost door, where karma originates. Includes contemplation, planning, mental cultivation. In tantric practice: corresponds to Dharmakāya (#47).","I≈Kāya (काय, Body) — physical action; the structural medium through which intention manifests in the world. Includes gesture, posture, movement, physical conduct. In tantric practice: corresponds to Nirmāṇakāya (#47).; R≈Vāk / Vāc (वाक्, Speech) — verbal action; the communicative medium. Includes truth/falsehood, harsh/gentle speech, gossip, chanting, mantra. The relational drive that connects inner intention to outer world. In tantric practice: corresponds to Sambhogakāya (#47).; Sem≈Citta / Manas (चित्त, Mind) — mental action; intention, thought, attitude. The innermost door, where karma originates. Includes contemplation, planning, mental cultivation. In tantric practice: corresponds to Dharmakāya (#47).",Gradient,"all karmic action flows through one or more of these three doors. Complete ethical purification requires mastery of all three. In Vajrayāna: enlightenment = purification of all three doors simultaneously, often ritualized as Body-Speech-Mind offerings. The three doors map directly to Trikāya (#47): Nirmāṇakāya-Sambhogakāya-Dharmakāya.",19,2,Parent III — Relational / Emergent-Integrative,,2,
88,Triple Bottom Line / TBL (People–Planet–Profit),Modern Theoretical / Cross-Cultural,Modern Global – Mixed/General,Modern Theoretical / Structural,"People (Social) — human wellbeing, labor conditions, community impact, equity, health, education. The social substrate upon which economic activity depends. | Planet (Environmental) — ecological integrity, resource use, emissions, biodiversity, carrying capacity. The biophysical boundary conditions that constrain all human activity. | Profit (Economic) — financial viability, economic returns, value creation. The registration mechanism: without economic sustainability, social and environmental goals cannot be maintained over time.","I≈People (Social) — human wellbeing, labor conditions, community impact, equity, health, education. The social substrate upon which economic activity depends.; R≈Planet (Environmental) — ecological integrity, resource use, emissions, biodiversity, carrying capacity. The biophysical boundary conditions that constrain all human activity.; Sem≈Profit (Economic) — financial viability, economic returns, value creation. The registration mechanism: without economic sustainability, social and environmental goals cannot be maintained over time.",Gradient,"genuine sustainability exists only at the intersection of all three. Optimizing profit alone degrades people and planet; social investment without economic viability collapses; environmental protection without social equity is politically unsustainable. The ""sweet spot"" is the product of all three.",20,2,Parent II — Structural / Constraint-Dynamical,,2,
89,Trivium (Grammar–Logic–Rhetoric),Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Sacred Mediation Ontology,"Grammar (Grammatica) — the structural foundation: the rules governing correct expression, the ordering of signs, the mechanics of language. Understanding what has been said. In the medieval formulation: the art of ""inventing and combining symbols."" | Logic / Dialectic (Dialectica) — the critical drive: the art of reasoning, distinguishing truth from falsehood, valid from invalid inference. Understanding whether what has been said is true. Includes formal logic, argumentation, and critical analysis. | Rhetoric (Rhetorica) — the integrative closure: the art of persuasion, of deploying grammar and logic for effective communication. Understanding how to communicate truth compellingly. Requires and synthesizes the other two.","I≈Grammar (Grammatica) — the structural foundation: the rules governing correct expression, the ordering of signs, the mechanics of language. Understanding what has been said. In the medieval formulation: the art of ""inventing and combining symbols.""; R≈Logic / Dialectic (Dialectica) — the critical drive: the art of reasoning, distinguishing truth from falsehood, valid from invalid inference. Understanding whether what has been said is true. Includes formal logic, argumentation, and critical analysis.; Sem≈Rhetoric (Rhetorica) — the integrative closure: the art of persuasion, of deploying grammar and logic for effective communication. Understanding how to communicate truth compellingly. Requires and synthesizes the other two.",Branching,"sequential and cumulative: grammar without logic is rote; logic without rhetoric is sterile; rhetoric without grammar and logic is sophistry. The educated mind is the product of all three working in concert. The trivium was explicitly understood as a progressive synthesis: ""grammar learns, logic thinks, rhetoric expresses.""",20,2,Parent III — Relational / Emergent-Integrative,,2,
90,Three Estates of the Realm (Oratores–Bellatores–Laboratores),Unspecified,Modern Global – Mixed/General,Modern Theoretical / Structural,"Oratores (Those Who Pray) — the clergy, the First Estate. Provide spiritual legitimation, moral authority, education, and cosmic order. The sacral-structural ground of medieval society. | Bellatores (Those Who Fight) — the warrior nobility, the Second Estate. Provide military protection, political governance, and enforcement of order. The active-dynamic principle. | Laboratores (Those Who Work) — the common people, the Third Estate. Provide agricultural production, economic labor, and material sustenance. The productive ground that makes the other two possible; also the site of registration (taxation, surplus, demographic reality).","I≈Oratores (Those Who Pray) — the clergy, the First Estate. Provide spiritual legitimation, moral authority, education, and cosmic order. The sacral-structural ground of medieval society.; R≈Bellatores (Those Who Fight) — the warrior nobility, the Second Estate. Provide military protection, political governance, and enforcement of order. The active-dynamic principle.; Sem≈Laboratores (Those Who Work) — the common people, the Third Estate. Provide agricultural production, economic labor, and material sustenance. The productive ground that makes the other two possible; also the site of registration (taxation, surplus, demographic reality).",Branching,each estate's identity and function depend on the other two. The clergy legitimates the nobility's right to rule and the commoners' duty to labor; the nobility protects both clergy and commoners; the commoners feed both. Remove any one and the social order collapses. The French Revolution (1789) was precisely the Third Estate's assertion that it was the whole.,19,2,Parent II — Structural / Constraint-Dynamical,,2,
91,HVAC Control Logic (Setpoint–Flow Control–Equilibrium),Modern Theoretical / Cross-Cultural,Modern Global – Mixed/General,Modern Theoretical / Structural,"Setpoint — desired temperature/pressure/humidity target that defines the admissible error band and establishes the floor condition. | Variable Flow Control (VFD / valve / damper actuation) — coupling mechanism translating error into actuator effort through plant dynamics and constraints (gain, lag, saturation). | Thermal Equilibrium Trace — the realized stabilized state (or bounded oscillation) registered as the system’s maintained comfort/steady-state over time.",I≈Setpoint; R≈Variable Flow Control (VFD/actuation & plant coupling); Sem≈Thermal Equilibrium Trace (stabilized outcome over Δt),Torsional,"auditable channels: declared target (I), plant/actuator coupling law (R), and time-integrated stability/settling trace (Sem). Remove any one: no control objective, no effective actuation, or no stable registered outcome.",16,1,CAP Instantiation — Control Engineering,,1,
92,Structural Integrity (Beam Theory: Load–Stiffness–Deflection),Modern Theoretical / Cross-Cultural,Modern Global – Mixed/General,Modern Theoretical / Structural,Load/Stress — applied forces and boundary conditions that define what must be borne. | Elastic Modulus/Stiffness — coupling law mapping load into deformation given geometry/material. | Strain/Deflection Trace — measurable deformation profile over span/time that registers integrity or failure.,I≈Load/Stress; R≈Elastic Modulus/Stiffness (constitutive coupling); Sem≈Strain/Deflection Trace (registered deformation field),Gradient,closure is achieved when deformation remains within admissible limits under load; auditing requires all three declared. Dyads (load-deflection) silently assume stiffness; (load-stiffness) omits the registered deformation field.,16,1,CAP Instantiation — Mechanical/Structural,,1,
93,RF Propagation (Power–Impedance–SNR),Modern Theoretical / Cross-Cultural,Modern Global – Mixed/General,Modern Theoretical / Structural,"Transmitter Power — available signal energy injected into channel. | Channel/Atmospheric Impedance — coupling constraints (path loss, multipath, attenuation, matching) governing transfer. | Signal-to-Noise Ratio Trace — registered intelligibility/decodability over time and bandwidth.",I≈Transmitter Power; R≈Channel/Atmospheric Impedance; Sem≈SNR/Decodability Trace,Gradient,"communicative closure requires sufficient injected power, compatible channel coupling, and a registered SNR trace. A dyad (power-SNR) hides impedance; (power-impedance) does not guarantee decodable output.",15,1,CAP Instantiation — RF/Comms,,1,
94,Hydraulic Power (Pressure–Restriction–Work),Modern Theoretical / Cross-Cultural,Modern Global – Mixed/General,Modern Theoretical / Structural,Fluid Pressure — available energy density driving the system. | Valve Restriction/Orifice/Control — coupling that meters flow and shapes response. | Actuator Work/Displacement — registered mechanical output (force×stroke) over time.,I≈Fluid Pressure; R≈Valve Restriction/Flow Coupling; Sem≈Actuator Work/Displacement Trace,Gradient,closure is mechanical work delivered within constraints. Pressure without restriction is uncontrolled; restriction without pressure yields no output; output trace is the registration channel.,15,1,CAP Instantiation — Hydraulics,,1,
95,Cryptographic Hashing (Message–Compression–Digest),Middle East & North Africa (Abrahamic/Iranian/Islamic),Middle East & North Africa,Classical Islamic Jurisprudence,Input Message — available data substrate. | Compression/Mixing Function — coupling law (nonlinear permutation/round function) that binds input to output. | Digest/Hash Trace — fixed-length registered artifact enabling verification and audit.,I≈Input Message; R≈Compression/Mixing Function; Sem≈Digest/Hash Trace,Branching,"integrity closure depends on declared input domain, declared transform, and the produced trace. Dyadic (message-digest) hides the transform; (transform-digest) omits message substrate.",16,1,CAP Instantiation — Crypto,,1,
96,Internal Combustion Cycle (Mixture–Ignition/Compression–Torque),Modern Theoretical / Cross-Cultural,Modern Global – Mixed/General,Modern Theoretical / Structural,"Air–Fuel Mixture — available reactant floor (composition, mass flow). | Compression/Spark Timing — coupling that triggers phase transition from potential chemical energy to expansion (controls knock/efficiency). | Power Stroke/Torque Trace — registered mechanical output across cycles.",I≈Air–Fuel Mixture; R≈Compression/Spark Timing (coupling/trigger); Sem≈Torque/Power Trace,Gradient,"sustained engine output requires adequate mixture, proper ignition/compression coupling, and measurable torque output. Remove any pole: no energy substrate, no conversion trigger, or no registered work.",14,1,CAP Instantiation — Thermo/Engines,,1,
97,Battery Electrochemistry (Anode–Electrolyte–Capacity),Modern Theoretical / Cross-Cultural,Modern Global – Mixed/General,Modern Theoretical / Structural,Anode/Cathode Potential — available electrochemical gradient. | Electrolyte Conductivity/Interface — coupling channel enabling ion transport and charge transfer. | Discharge Capacity Trace — registered deliverable energy over time under load.,I≈Electrode Potential Gradient; R≈Electrolyte/Interface Coupling; Sem≈Capacity/Voltage Trace,Gradient,"usable energy storage requires a potential floor, transport coupling, and a time-registered capacity trace. Dyads hide transport or omit measurable delivery.",15,1,CAP Instantiation — Electrochemistry,,1,
98,Bread Leavening (Starch–Fermentation–Crumb),Modern Theoretical / Cross-Cultural,Modern Global – Mixed/General,Modern Theoretical / Structural,Flour/Starch Matrix — available substrate for structure and fermentation. | Yeast Metabolism/CO₂ Production — coupling that inflates matrix and drives rise under temperature/time constraints. | Crumb Structure/Loaf Form — registered macro-structure after bake (closure).,I≈Flour/Starch Matrix; R≈Yeast Fermentation (coupling kinetics); Sem≈Crumb/Loaf Structure Trace,Gradient,a loaf is the closure artifact: substrate + coupling kinetics + registered structure. Dyads miss either substrate quality or the registered structural outcome.,13,1,CAP Instantiation — Food/Chemistry,,1,
99,Coffee Extraction (Grounds–Water Dynamics–TDS/Flavor),Modern Theoretical / Cross-Cultural,Modern Global – Mixed/General,Modern Theoretical / Structural,Dry Grounds — available solute substrate and geometry (grind size). | Water Temp/Pressure/Contact Time — coupling dynamics governing dissolution and flow. | TDS/Flavor Trace — registered extraction outcome (measurable TDS + sensory coherence).,I≈Grounds/Substrate; R≈Water Dynamics (temp/pressure/time); Sem≈TDS/Flavor Trace,Gradient,"extraction closure requires substrate, coupling dynamics, and registered trace. Dyads (grounds-flavor) hide process; (process-flavor) omits substrate.",13,1,CAP Instantiation — Food/Chemistry,,1,
100,Emulsification (Oil–Emulsifier/Agitation–Stable Suspension),Modern Theoretical / Cross-Cultural,Modern Global – Mixed/General,Modern Theoretical / Structural,Oil Phase — available dispersed phase. | Emulsifier/Agitation — coupling that reduces interfacial tension and stabilizes droplets. | Stable Suspension/Sauce Trace — registered persistence of mixture over Δt (no phase separation).,I≈Oil Phase; R≈Emulsifier/Agitation (coupling); Sem≈Stable Suspension Trace,Gradient,stability over time is the closure criterion. Oil+water without coupling fails; coupling without phases is undefined; the trace is the persistence record.,14,1,CAP Instantiation — Food/Chemistry,,1,
101,Enzymatic Digestion (Chyme–Secretions–Absorption),Modern Theoretical / Cross-Cultural,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Chyme/Nutrient Load — available substrate. | Bile/Enzyme Secretion — coupling that breaks down and solubilizes molecules. | Nutrient Absorption Trace — registered uptake across gut wall over time.,I≈Chyme/Nutrient Load; R≈Enzyme/Bile Coupling; Sem≈Absorption Trace,Gradient,"digestion closure requires substrate, catalytic coupling, and measurable uptake. Dyads omit the biochemical coupling or the registered uptake trace.",13,1,CAP Instantiation — Biology,,1,
102,Policy Iron Triangle (Committees–Interest Groups–Agencies),Modern Theoretical / Cross-Cultural,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,"Congressional Committees — floor of agenda-setting and rule-making capacity. | Interest Groups — coupling channel supplying pressure, resources, and alignment constraints. | Government Agencies — semantic closure via implementation, enforcement, and durable administrative trace.",I≈Committees (agenda/floor); R≈Interest Groups (coupling/pressure); Sem≈Agencies (implementation/trace),Branching,"policy closure requires a floor of authority, coupling via incentives/pressure, and durable administrative enactment. Dyadic accounts of politics typically hide the third actor (implementation).",14,1,CAP Instantiation — Governance,,1,
103,Maritime Dead Reckoning (Position–Velocity–Fix),Modern Theoretical / Cross-Cultural,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Previous Fix/Position — floor state. | Speed/Heading (Velocity Model) — coupling update rule under drift/error. | New Fixed Point/Logged Track — registered trace (logbook/GPS fix) defining observed continuation.,I≈Prior Position; R≈Velocity/Heading Model; Sem≈New Fix/Track Trace,Gradient,"navigation closure requires a starting state, an update coupling, and a registered new state. Dyads (position-fix) hide velocity; (position-velocity) omits the registered fix.",15,1,CAP Instantiation — Navigation,,1,
104,Contract Enforceability (Offer–Consideration–Acceptance),Modern Theoretical / Cross-Cultural,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Offer — floor proposal defining the possible contract. | Consideration — coupling exchange that binds parties (value transfer). | Acceptance/Legal Binding — semantic closure via assent + enforceable trace in law.,I≈Offer; R≈Consideration (binding coupling); Sem≈Acceptance/Enforceable Trace,Branching,"legal closure requires a proposed structure, binding exchange, and an enforceable acceptance trace. Dyads omit consideration or the binding trace.",15,1,CAP Instantiation — Law,,1,
105,Insurance Underwriting (Exposure–Pooling–Coverage),Modern Theoretical / Cross-Cultural,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Risk Exposure — floor hazard profile. | Premium/Pooling Mechanism — coupling that aggregates risk and prices uncertainty. | Indemnity/Coverage Trace — registered promise/claim process enabling persistence after loss.,I≈Exposure; R≈Pooling/Pricing; Sem≈Coverage/Claims Trace,Branching,closure is insurability: without exposure no pricing; without pooling no coupling; without coverage trace no enforceable persistence.,14,1,CAP Instantiation — Finance/Risk,,1,
106,Diplomatic Protocol (Sovereign–Immunity–Treaty),Modern Theoretical / Cross-Cultural,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Sovereign State — floor actor with authority. | Envoy/Immunity — coupling channel enabling interaction without immediate coercive collapse. | Treaty/Accord — semantic closure as durable recorded commitment.,I≈Sovereign State; R≈Envoy/Immunity (coupling); Sem≈Treaty/Accord Trace,Branching,"diplomacy requires actors, coupling protections, and recorded binding outcomes. Dyads miss immunity/standing or omit durable accord trace.",13,1,CAP Instantiation — International Relations,,1,
107,Intellectual Property (Creation–Filing–Protected Asset),Modern Theoretical / Cross-Cultural,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,"Original Creation — floor novelty. | Filing/Registration Process — coupling to legal system (standards, examination). | Protected Asset — semantic closure: enforceable rights and traceable ownership.",I≈Creation; R≈Filing/Legal Coupling; Sem≈Protected Right/Ownership Trace,Branching,"IP closure requires a work, a coupling into statute, and a registered right. Dyads omit the legal coupling or the trace.",14,1,CAP Instantiation — Law/Innovation,,1,
108,3D Rendering Pipeline (Mesh–Shader–Frame),Modern Theoretical / Cross-Cultural,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Mesh/Geometry — floor scene structure. | Shader/Lighting Model — coupling mapping geometry to radiance under constraints. | Rendered Frame/Pixel Buffer — semantic trace (the output artifact) that can be inspected and persisted.,I≈Mesh/Geometry; R≈Shader/Lighting Coupling; Sem≈Rendered Frame Trace,Gradient,"rendering closure requires geometry, transformation/coupling, and an output trace. Dyads hide shaders or omit the output artifact.",15,1,CAP Instantiation — Graphics/Compute,,1,
109,Musical Counterpoint (Cantus–Rules–Polyphony),Modern Theoretical / Cross-Cultural,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Cantus Firmus — floor melodic line. | Intervallic/Voice-Leading Rules — coupling constraints governing allowable relations. | Polyphonic Coherence — semantic closure: the realized consonant texture across time (auditable as score/performance).,I≈Cantus Firmus; R≈Counterpoint Rules (coupling); Sem≈Polyphonic Coherence Trace,Torsional,"sustained musical closure requires a base line, relational constraints, and a coherent realized texture trace. Dyads omit the rule system or the realized coherence.",13,1,CAP Instantiation — Music,,1,
110,Typography (Glyphs–Spacing Rules–Legibility),Modern Theoretical / Cross-Cultural,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,"Typeface/Glyph Inventory — floor forms. | Kerning/Leading/Layout Rules — coupling constraints shaping relations in space. | Legibility/Reading Flow — semantic trace registered by human or metrics (OCR accuracy, reading speed).",I≈Glyph Set; R≈Spacing/Layout Coupling; Sem≈Legibility Trace,Gradient,"typography closure requires forms, relational spacing, and a legibility trace. Dyads hide spacing rules or omit evaluative trace.",13,1,CAP Instantiation — Design/HCI,,1,
111,Color Printing (Subtractive CMY + Screening + Perceived Image),Indigenous North America,Indigenous North America,Indigenous North American Cosmology,CMY Inks — floor material basis for color. | Halftone Screening/Registration — coupling mechanism converting continuous tone to printable pattern under device constraints. | Perceived Image — semantic trace as human-perceived output (or colorimetric measurement).,I≈CMY Inks; R≈Screening/Registration Coupling; Sem≈Perceived Image Trace,Gradient,"print closure requires inks, coupling via screening/registration, and a perceived/measured image trace. Dyads omit screening or the perceptual trace.",14,1,CAP Instantiation — Print/Imaging,,1,
112,Niche Construction (Environment–Behavior–Modified Habitat),Modern Theoretical / Cross-Cultural,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Environment — floor constraints and resources. | Organism Behavior — coupling action changing flows and exposures. | Modified Habitat — semantic trace: altered niche that persists and conditions future dynamics.,I≈Environment; R≈Behavior/Coupling; Sem≈Modified Habitat Trace,Gradient,niche closure is the persistent habitat modification. Dyads (environment-habitat) hide behavior; (environment-behavior) omits the trace.,14,1,CAP Instantiation — Ecology,,1,
113,Immune Response (Antigen–Coupling–Memory),Middle East & North Africa (Abrahamic/Iranian/Islamic),Middle East & North Africa,Classical Islamic Jurisprudence,"Pathogen/Antigen — floor trigger. | B-/T-cell Recognition & Coupling — relational binding, signaling, and activation constraints. | Antibody/Memory Trace — semantic closure as durable immunological record enabling faster future response.",I≈Antigen; R≈Immune Coupling (recognition/signaling); Sem≈Memory/Antibody Trace,Gradient,"immune closure requires a trigger, coupling, and a registered memory trace. Dyads omit memory or the recognition coupling.",15,1,CAP Instantiation — Immunology,,1,
114,Circadian Rhythm (Light–SCN Regulation–Sleep/Wake),Modern Theoretical / Cross-Cultural,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Light Level/Photoperiod — floor external signal. | SCN / hormonal regulation — coupling oscillator and phase-lock mechanisms. | Sleep–Wake Cycle Trace — semantic closure as persistent rhythm pattern over days.,I≈Light Input; R≈SCN Coupling/Oscillator; Sem≈Rhythm Trace,Torsional,"circadian coherence requires input, coupling oscillator, and the trace of realized cycle. Dyads hide SCN coupling or omit trace.",14,1,CAP Instantiation — Physiology,,1,
115,Forest Succession (Bare Substrate–Competition–Climax Community),Modern Theoretical / Cross-Cultural,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Bare Soil/Substrate — floor conditions. | Pioneer Species / competition dynamics — coupling interactions and resource constraints. | Climax Community — semantic trace: stable ecosystem structure over time.,I≈Substrate; R≈Competition/Coupling; Sem≈Climax Community Trace,Gradient,succession closure is the stabilized community pattern. Dyads omit competition coupling or the registered end-state.,13,1,CAP Instantiation — Ecology,,1,
116,Synaptic Transmission (Presynaptic–Binding–Postsynaptic),Modern Theoretical / Cross-Cultural,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Pre-synaptic Potential/vesicle release — floor signal availability. | Cleft/Receptor Binding — coupling filter translating neurotransmitter release into receptor activation. | Post-synaptic Excitation Trace — semantic registration in membrane potential / spike output.,I≈Pre-synaptic Signal; R≈Binding/Coupling; Sem≈Post-synaptic Trace,Gradient,"neural closure requires signal, coupling, and registered post-synaptic change. Dyads hide binding kinetics or omit trace.",15,1,CAP Instantiation — Neuroscience,,1,
117,Prompt Engineering (Weights–Prompt Constraints–Output),Modern Theoretical / Cross-Cultural,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,"Base Model Weights — floor capability landscape (latent availability). | Prompt/System Constraints — coupling that selects/locks trajectories through latent space (instruction, context, tool constraints). | Generated Output — semantic trace (token sequence) that persists and can be audited.",I≈Model Weights (availability); R≈Prompt/System Constraints (coupling); Sem≈Generated Output Trace,Gradient,closure is coherent output under instruction and safety constraints; dyadic reductions (weights-output) hide prompt coupling; (prompt-output) presumes underlying capability floor.,16,1,CAP Instantiation — AI/LLMs,,1,
118,Blockchain Consensus (PoS: Stake–Protocol–Finality),Modern Theoretical / Cross-Cultural,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Stake/Validator Set — floor of economic weight/authority. | Gossip/Slashing/Consensus Protocol — coupling rules enforcing alignment under adversarial conditions. | Block Finality — semantic trace: committed ledger state that persists across nodes.,I≈Stake/Validators; R≈Consensus Protocol; Sem≈Finalized Ledger Trace,Gradient,closure is finalized state; dyadic models hide protocol enforcement or omit the persisted ledger trace.,15,1,CAP Instantiation — Distributed Systems,,1,
119,Vector Databases (Embedding–Similarity–Retrieval),Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Sacred Mediation Ontology,Raw Embedding — floor representation of items/queries. | Similarity Metric/Index — coupling that defines adjacency and allowable retrieval under constraints. | Retrieved Context — semantic trace: selected neighbors / context window that persists in a session and conditions downstream outputs.,I≈Embedding Floor; R≈Similarity/Index Coupling; Sem≈Retrieved Context Trace,Gradient,closure is actionable retrieval. Dyads (embedding-result) hide the metric/index; (metric-result) omits representation floor.,14,1,CAP Instantiation — IR/Databases,,1,
120,Zero-Knowledge Proofs (Witness–Interaction–Verified Proof),Modern Theoretical / Cross-Cultural,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Witness — floor private assignment. | Prover–Verifier Protocol — coupling interaction enforcing soundness/zero-knowledge constraints. | Verified Proof Artifact — semantic trace (accept/reject + transcript commitments).,I≈Witness; R≈Protocol Coupling; Sem≈Verified Proof Trace,Branching,"ZKP closure requires witness, interaction rules, and a verifiable trace. Dyads hide protocol or omit the proof artifact.",16,1,CAP Instantiation — Cryptography,,1,
121,Vedic Yajna (Oblation–Agni–Ṛta),Modern Theoretical / Cross-Cultural,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Offering/Oblation — floor material/symbolic input. | Fire/Agni — coupling transformer/mediator. | Ṛta (Order) — semantic closure as harmonized outcome and retained ritual trace in community/cosmos.,I≈Offering; R≈Agni (mediating coupling); Sem≈Ṛta/Order Trace,Branching,"ritual closure requires an offered substrate, a mediating process, and a registered order/trace. (Traditional instantiation; sources needed for formal claim.)",12,1,CAP Candidate — Tradition/ritual,,1,
122,Mayan Calendrics (Count–Interlock–Date/Event Trace),Mesoamerica (Maya/Aztec/Olmec/Zapotec),Mesoamerica,Mesoamerican Cosmology,Long Count — floor indexing of time. | Tzolk'in/Haab' interlock — coupling mechanism producing composite cycles. | Date/Event Trace — semantic closure: named day/omen record enabling coordination and memory.,I≈Long Count; R≈Cycle Interlock; Sem≈Date/Event Trace,Torsional,"calendric closure requires a base count, coupling cycles, and a registered date trace. Dyads omit interlock or omit the trace.",12,1,CAP Candidate — Calendrics,,1,
123,Celtic Knotwork (Strand–Rule–Loop Pattern),Modern Theoretical / Cross-Cultural,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Strand/Path — floor element. | Over–Under Constraint Rule — coupling constraints governing crossings. | Closed Knot Pattern — semantic trace: finished loop artifact with persistence.,I≈Strand; R≈Over/Under Rule (coupling); Sem≈Closed Pattern Trace,Gradient,"closure requires strand, constraints, and finished loop. Dyads omit rules or omit closed artifact.",13,1,CAP Instantiation — Geometry/Craft,,1,
124,Navajo Weaving (Warp–Weft–Pattern Trace),Indigenous North America,Indigenous North America,Indigenous North American Cosmology,Warp — floor longitudinal threads. | Weft — coupling transverse insertion and tension control. | Pattern/Finished Textile — semantic trace: persistent design artifact.,I≈Warp; R≈Weft/Tension Coupling; Sem≈Pattern Trace,Gradient,"textile closure requires warp, coupling via weft/tension, and finished pattern trace. Dyads omit coupling or omit artifact.",12,1,CAP Instantiation — Craft,,1,
125,Magic Circle (Play Space–Rules–Ludic Reality),Modern Theoretical / Cross-Cultural,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,"Physical/Virtual Play Space — floor boundary. | Game Rules — coupling constraints enabling meaningful interaction. | Ludic Reality — semantic trace: emergent game state experienced and recorded (scores, narratives).",I≈Play Space; R≈Rules Coupling; Sem≈Game State/Experience Trace,Branching,"gameplay closure requires a bounded space, rules, and a game-state trace. Dyads omit the boundary or omit the state trace.",13,1,CAP Instantiation — Game Studies,,1,
126,RPG Mechanics (Stats–Randomizer–Outcome),Modern Theoretical / Cross-Cultural,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Character Stats — floor capabilities. | Dice/Randomizer + resolution rules — coupling that mediates uncertainty. | Narrative/Mechanical Outcome — semantic trace: state update in story/system.,I≈Stats; R≈Resolution Coupling; Sem≈Outcome Trace,Branching,"closure requires declared stats, coupling via rules/randomness, and an updated state trace.",13,1,CAP Instantiation — Game Design,,1,
127,FPS Design (Movement–Collision–Flow State),Modern Theoretical / Cross-Cultural,Modern Global – Philosophical/Meta,Contemporary Semiotics,Player Movement Model — floor action space. | Map Collision/Constraints — coupling limiting and shaping trajectories. | Flow State / Skillful Play Trace — semantic closure: stable engagement pattern measurable via performance/retention metrics.,I≈Movement Model; R≈Collision/Constraints; Sem≈Flow/Performance Trace,Gradient,"sustained play coherence requires action floor, constraint coupling, and a registered engagement/performance trace.",12,1,CAP Candidate — HCI/metrics,,1,
128,Traffic Management (Flow–Signals/Constraints–Throughput Trace),Modern Theoretical / Cross-Cultural,Modern Global – Scientific/Technical,Contemporary Information Theory,Vehicle Flow Demand — floor load. | Signal Timing/Lane Constraints — coupling rules shaping interactions. | Throughput/Congestion Trace — semantic registration of network performance over time.,I≈Demand/Flow; R≈Signal/Lane Coupling; Sem≈Throughput/Congestion Trace,Gradient,closure is managed throughput; dyads hide signal coupling or omit performance trace.,14,1,CAP Instantiation — Urban Systems,,1,
129,Supply Chain (Materials–Logistics–Availability),Modern Theoretical / Cross-Cultural,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Raw Materials/Inventory — floor supply. | Logistics/Freight/Coordination — coupling network moving goods under constraints. | On-shelf Availability — semantic trace: deliverable presence at point of use (registered as fill rate).,I≈Materials; R≈Logistics Coupling; Sem≈Availability Trace,Branching,"persistence of supply requires floor inventory, coupling logistics, and measurable availability trace.",14,1,CAP Instantiation — Operations,,1,
130,Electric Grid Stability (Generation–Regulation–Delivered Power),Modern Theoretical / Cross-Cultural,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Generation Capacity — floor supply. | Frequency Regulation/Control — coupling that maintains phase alignment and prevents cascade. | Sustained Power Delivery Trace — semantic closure: stable voltage/frequency delivered over time.,I≈Generation; R≈Regulation Coupling; Sem≈Delivery Trace,Torsional,"grid closure requires supply, regulation coupling, and delivered stability trace. Dyads omit regulation or omit trace.",16,1,CAP Instantiation — Power Systems,,1,
